"Telephone clients at their home numbers or through assisted living facilities; minimum 30 minutes per week Build a supportive relationship through conversation and discussion Actively engage client in topics of interest including reminiscing about past experiences Complete the Monthly Service Record at the end of every month and submitting it to the Volunteer Services Coordinator Report issues, concerns and all incidents to the Volunteer Services Coordinator. Notify the Coordinator of any intended, extended absences by the volunteer Adhere to the vision, mission and guiding values of the organization and the 'Friendly Visiting' program Represent Indus in a professional manner at all times Adhere to the agreed upon volunteering hours Assist with related tasks as assigned",Communication ; Confidentiality ; Creativity ; Dependability & Trustworthiness ; Friendly & Outgoing ; Listening Skills ; Patience ; Positive / Cheerful Demeanor ; Languages ; ;
"Under the direction of the Volunteer Engagement Officer & the Professional Care Team;
- Provide companionship to our children during their stay at The Darling Home for Kids
- Under the direction of our trained and qualified professional care team connect with our children in the various activities they participate in at our Home
- Enjoy outings into the community and outdoor activities on our grounds
- Perform general home duties including; tidying and cleaning toys, organizing program materials and other responsibilities as needed to fully support the children and the functioning of the Home
- Support the child in whatever other activities they may be doing throughout their time at The Darling Home for Kids",Confidentiality ; Dependability & Trustworthiness ; Friendly & Outgoing ; Positive / Cheerful Demeanor ; Self-Motivated / Work Independently ; Children & Youth ; Children with medical complexities ;
"- Visit clients in their home or assisted living facility; minimum of 1 hour weekly visit at a mutually agreed upon time (between Mon-Sun, 9am-7pm)
- Build a supportive relationship through conversation and discussion
- Actively participate in activities which are of interest to the client
- Complete the Friendly Visiting Monthly Service Record
- Report issues, concerns and all incidents to the Volunteer Services Coordinator
- Represent Indus in a professional manner at all times
- Adhere to the vision, mission and guiding values of the organization and the Friendly Visiting Program.",Communication ; Confidentiality ; Creativity ; Dependability & Trustworthiness ; Friendly & Outgoing ; Listening Skills ; Patience ; Positive / Cheerful Demeanor ; Languages ; ;
"Facilitation of open-ended peer support groups, in-person and online, for bereaved children, youth and their adult parents/caregivers","Communication ; Confidentiality ; Legal ; Creativity ; Dependability & Trustworthiness ; Friendly & Outgoing ; Listening Skills ; Patience ; Communication ; Children & Youth ; Other applicable skills/experiences: Peer support group facilitation, cultural humility, anti-racism, anti-oppression, lived experience with death of a parent, child, spouse/partner ;"
"Attend scheduled Bingo session- 2 hour commitment
Meet and greet players
Assist staff
Training provided",Communication ; Creativity ; Dependability & Trustworthiness ; Friendly & Outgoing ; Positive / Cheerful Demeanor ;
"Our Volunteer drivers play an extremely valuable role in the lives of our children in care. As a driver, you become a familiar and friendly face the children can depend on, someone who will listen to their stories and bring a smile to their faces at what can be a very confusing time in their lives.
If you have a few hours to spare a week, enjoy driving and love children then this is the volunteer role for you. Volunteer drivers take children and on occasion their parents, to various appointments: therapy sessions, family visits, counselling sessions, court dates, support groups, and other important meetings.
Drivers are currently needed during day time hours. Some do a specific drive or two each week, others are called upon on a daily basis and yet others do once a month. We are always in need of reliable, readily available volunteer drivers.","Communication ; Confidentiality ; Dependability & Trustworthiness ; Friendly & Outgoing ; Listening Skills ; Patience ; Positive / Cheerful Demeanor ; Self-Motivated / Work Independently ; Children & Youth ; Driving experience necessary. Good driving record. Police clearance and driver's abstract are required.
Sense of humour, love of children, kind, non judgmental, patient, personality. ;"
"This a great opportunity for helping your community in the early evening! It can be done on your way to after school activities, on your way home from work and it will take around 30 minutes!
Pick up meals at Mo's Family Restaurant and deliver them to Patty's place",Customer Service ; Dependability & Trustworthiness ; Seniors ; Friendly & Outgoing ; Patience ; Positive / Cheerful Demeanor ; Self-Motivated / Work Independently ;
"Our Logistics Team helps build the festival infrastructure and supports other team areas throughout the festival.
This position involves physical labour. Duties may include assembling and disassembling tents, barriers, licensed areas, signs and moving gear around the venue.",Dependability & Trustworthiness ; Friendly & Outgoing ; Patience ; Business ; Positive / Cheerful Demeanor ; Self-Motivated / Work Independently ; Manual Labour ; Communication ;
"Help setup and sell our SOM merch to festival goers. Positions include setup of merch tent, Merchandise Sales Clerk, Parade Fundraiser.",Communication ; Customer Service ; Dependability & Trustworthiness ; Friendly & Outgoing ; Business ; Business ; Positive / Cheerful Demeanor ; Self-Motivated / Work Independently ; Communication ;
"Thank you for reaching out unfortunately we are not taking any new volunteers on at the moment as the offices are closed until outreach in the community is permitted.
Spread awareness of sexual violence and the services of SAVIS throughout the Halton Region by staffing information booths. Youth between the ages of 14 and 18 are able to staff some booths based on the booth location and topics.
Suitable for: Woman-identified, male-identified, genderfluid people",Communication ; Creativity ; Customer Service ; Listening Skills ; Positive / Cheerful Demeanor ; Self-Motivated / Work Independently ; Communication ; Training is mandatory and will be provided. ;
"Be an Ambassador to the Sound of Music Festival, aiding in the operation of information booths and ticket gates.
Answering questions and helping people get the most out of their festival experience, directing to areas of the venue, working our box office and ticket gating lines.",Communication ; Friendly & Outgoing ; Business ; Business ; Positive / Cheerful Demeanor ; Self-Motivated / Work Independently ; Communication ; Computer & Technology ;
"Families are a huge part of the Sound of Musical Festival. Whether you love working directly with children or set up and tear down work, you can help make the Festival a very special event for families.
Positions include Setup / Tear Down Crew and Familly Zone Assistant",Communication ; Creativity ; Customer Service ; Friendly & Outgoing ; Patience ; Positive / Cheerful Demeanor ; Children & Youth ;
"Do you love customer service and helping our festival goers enjoy the music with a cold beverage? Join us in the Licensed Areas to provide patrons with safe, responsible service.
Positions include setup, server, back bar assistant, wrist bander or crowd watcher.",Communication ; Customer Service ; Dependability & Trustworthiness ; Friendly & Outgoing ; Business ; Positive / Cheerful Demeanor ; Communication ;
"The Sound of Music Grande Festival Parade is one of the highlights of the Festival that brings the community lining the road for some of the best marching bands in North America. And, who doesn't love a parade?
Positions include stationing at parade barricades and collecting donations along the parade route.",Communication ; Customer Service ; Dependability & Trustworthiness ; Friendly & Outgoing ; Positive / Cheerful Demeanor ; Self-Motivated / Work Independently ; Communication ;
"Caring for the horses - feeding, leading horses to turnout, mucking stalls, sweeping, cleaning, skipping paddocks",Communication ; Creativity ; Dependability & Trustworthiness ; Friendly & Outgoing ; Leadership ; Listening Skills ; Patience ; Business ; Positive / Cheerful Demeanor ; Self-Motivated / Work Independently ; Communication ;
